Image;Object;Level;Class;Material;Camera Position;Light Color (RGB);Fog;Mask;ImageNet_Label;ShapeNet_Superclass
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Tri_Wood/BaseMap_Actor_1_404.png;old-plane;BaseMap;404;M_Tri_Wood;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Tri_Wood/BaseMap_Actor_1_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Glass/BaseMap_Actor_1_404.png;old-plane;BaseMap;404;M_Glass;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Glass/BaseMap_Actor_1_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Fog/WithFog/BaseMap_Actor_1_404.png;old-plane;BaseMap;404;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);True;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Fog/WithFog/BaseMap_Actor_1_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle0/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle0/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle1/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=0.000 Y=-1.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle1/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle2/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=0.000 Y=0.000 Z=0.400;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle2/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle3/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=0.000 Y=1.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle3/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle4/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle4/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light0/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=-1.000 Y=0.000 Z=0.200;(R=1.000000,G=0.000000,B=0.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light0/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light1/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.000000,G=1.000000,B=0.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light1/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light2/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.000000,G=0.000000,B=1.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light2/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light3/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=-1.000 Y=0.000 Z=0.200;(R=1.000000,G=1.000000,B=0.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light3/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light4/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light4/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Camo/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;M_Camo;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Camo/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Noise/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;M_Noise;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Noise/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Titanium/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;M_Titanium;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Titanium/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Tri_Wood/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;M_Tri_Wood;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Tri_Wood/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Glass/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;M_Glass;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Glass/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Fog/WithFog/BaseMap_Actor_2_404.png;pas-plane;BaseMap;404;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);True;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Fog/WithFog/BaseMap_Actor_2_404_mask.png;airliner;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle0/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle0/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle1/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=0.000 Y=-1.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle1/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle2/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=0.000 Y=0.000 Z=0.400;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle2/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle3/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=0.000 Y=1.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle3/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle4/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle4/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light0/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=-1.000 Y=0.000 Z=0.200;(R=1.000000,G=0.000000,B=0.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light0/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light1/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.000000,G=1.000000,B=0.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light1/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light2/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.000000,G=0.000000,B=1.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light2/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light3/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=-1.000 Y=0.000 Z=0.200;(R=1.000000,G=1.000000,B=0.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light3/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light4/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light4/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Camo/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;M_Camo;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Camo/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Noise/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;M_Noise;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Noise/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Titanium/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;M_Titanium;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Titanium/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Tri_Wood/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;M_Tri_Wood;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Tri_Wood/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Glass/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;M_Glass;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Glass/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Fog/WithFog/BaseMap_Actor_3_895.png;fighter-jet;BaseMap;895;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);True;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Fog/WithFog/BaseMap_Actor_3_895_mask.png;warplane, military plane;airplane
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle0/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle0/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle1/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=0.000 Y=-1.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle1/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle2/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=0.000 Y=0.000 Z=0.400;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle2/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle3/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=0.000 Y=1.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle3/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle4/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Camera/Angle4/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light0/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=-1.000 Y=0.000 Z=0.200;(R=1.000000,G=0.000000,B=0.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light0/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light1/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.000000,G=1.000000,B=0.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light1/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light2/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.000000,G=0.000000,B=1.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light2/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light3/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=-1.000 Y=0.000 Z=0.200;(R=1.000000,G=1.000000,B=0.000000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light3/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light4/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;Default;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Light/Light4/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Camo/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;M_Camo;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Camo/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Noise/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;M_Noise;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Noise/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Titanium/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;M_Titanium;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Titanium/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Tri_Wood/BaseMap_Actor_4_412.png;trash-can-1;BaseMap;412;M_Tri_Wood;X=-1.000 Y=0.000 Z=0.200;(R=0.050000,G=0.050000,B=0.050000,A=0.000000);False;../../../../../../Users/Stud/Documents/Unreal Projects/Dataset_Renderer/Dataset/Material/M_Tri_Wood/BaseMap_Actor_4_412_mask.png;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;trash bin
