value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;21;0.3333333333333333;0.42857142857142855;21;0.3333333333333333
analog-clock-1;21;0.7142857142857143;0.7619047619047619;21;0.7142857142857143
assault-rifle-1;21;0.09523809523809523;0.09523809523809523;21;0.09523809523809523
backpack-1;21;0.19047619047619047;0.3333333333333333;21;0.23809523809523808
backpack-2;21;0.0;0.047619047619047616;21;0.047619047619047616
bathtub-1;21;0.23809523809523808;0.5238095238095238;21;0.23809523809523808
bathtub-2;21;0.2857142857142857;0.5238095238095238;21;0.2857142857142857
bathtub-3;21;0.0;0.14285714285714285;21;0.0
bed-1;21;0.0;0.0;21;0.0
bed-2;21;0.0;0.09523809523809523;21;0.047619047619047616
bench-1;21;0.6666666666666666;0.8095238095238095;21;0.6666666666666666
bench-2;21;0.047619047619047616;0.14285714285714285;21;0.047619047619047616
bench-3;21;0.5238095238095238;0.7619047619047619;21;0.5238095238095238
birdhouse-1;21;0.0;0.0;21;0.0
birdhouse-2;21;0.7142857142857143;0.8095238095238095;21;0.7142857142857143
birdhouse-3;21;0.23809523809523808;0.38095238095238093;21;0.23809523809523808
bookshelf-1;21;0.047619047619047616;0.14285714285714285;21;0.047619047619047616
bookshelf-2;21;0.0;0.09523809523809523;21;0.0
bookshelf-3;21;0.38095238095238093;0.6666666666666666;21;0.38095238095238093
bullet-train-1;21;0.0;0.0;21;0.0
bus-1;21;0.0;0.0;21;0.0
bus-2;21;0.0;0.0;21;0.0
bus-3;21;0.0;0.0;21;0.0
can-1;21;0.0;0.0;21;0.047619047619047616
can-2;21;0.19047619047619047;0.6190476190476191;21;0.6190476190476191
can-3;21;0.0;0.047619047619047616;21;0.14285714285714285
china-cabinet-1;21;0.0;0.0;21;0.0
china-cabinet-2;21;0.0;0.0;21;0.0
china-cabinet-3;21;0.0;0.0;21;0.0
computer-keyboard-1;21;0.0;0.047619047619047616;21;0.0
computer-keyboard-2;21;0.0;0.047619047619047616;21;0.0
computer-keyboard-3;21;0.0;0.0;21;0.0
cowboy-hat-1;21;0.0;0.6190476190476191;21;0.0
cowboy-hat-2;21;0.047619047619047616;0.09523809523809523;21;0.047619047619047616
cowboy-hat-3;21;0.0;0.38095238095238093;21;0.0
crash-helmet-1;21;0.14285714285714285;0.3333333333333333;21;0.19047619047619047
crash-helmet-2;21;0.0;0.14285714285714285;21;0.047619047619047616
crate-1;21;0.23809523809523808;0.47619047619047616;21;0.23809523809523808
day-bed-1;21;0.7142857142857143;0.8571428571428571;21;0.7142857142857143
dining-table-1;21;0.19047619047619047;0.38095238095238093;21;0.19047619047619047
dining-table-2;21;0.0;0.5238095238095238;21;0.47619047619047616
dining-table-3;21;0.5238095238095238;0.7619047619047619;21;0.7142857142857143
