class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
15;robin;50;;1.0;1.0;1.0;1.0;50;0;0
291;lion;50;;1.0;1.0;1.0;1.0;50;0;0
107;jellyfish;50;;1.0;1.0;1.0;1.0;50;0;0
70;harvestman;50;;1.0;1.0;1.0;1.0;50;0;0
306;rhinoceros_beetle;50;;1.0;1.0;1.0;1.0;50;0;0
275;African_hunting_dog;50;;1.0;1.0;1.0;1.0;50;0;0
279;Arctic_fox;50;;1.0;1.0;1.0;1.0;50;0;0
364;three-toed_sloth;50;;1.0;1.0;1.0;1.0;50;0;0
800;slot;50;;1.0;1.0;1.0;1.0;50;0;0
476;carousel;50;;1.0;1.0;1.0;1.0;50;0;0
251;dalmatian;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
299;meerkat;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
604;hourglass;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
934;hotdog;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
927;trifle;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
12;house_finch;50;;0.98;0.98;0.98;0.98;49;1;1
245;French_bulldog;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
507;combination_lock;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
779;school_bus;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
51;triceratops;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
471;cannon;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
392;rock_beauty;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
713;photocopier;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
533;dishrag;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
270;white_wolf;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
149;dugong;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
96;toucan;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
781;scoreboard;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
807;solar_dish;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
228;komondor;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
553;file;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
687;organ;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
99;goose;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
758;reel;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
207;golden_retriever;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
121;king_crab;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
242;boxer;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
244;Tibetan_mastiff;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
214;Gordon_setter;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
