class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
279;Arctic_fox;50;;1.0;1.0;1.0;1.0;50;0;0
291;lion;50;;1.0;1.0;1.0;1.0;50;0;0
275;African_hunting_dog;50;;1.0;1.0;1.0;1.0;50;0;0
364;three-toed_sloth;50;;1.0;1.0;1.0;1.0;50;0;0
807;solar_dish;50;;1.0;1.0;1.0;1.0;50;0;0
476;carousel;50;;1.0;1.0;1.0;1.0;50;0;0
12;house_finch;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
70;harvestman;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
299;meerkat;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
604;hourglass;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
15;robin;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
51;triceratops;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
569;garbage_truck;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
713;photocopier;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
800;slot;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
779;school_bus;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
533;dishrag;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
934;hotdog;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
927;trifle;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
392;rock_beauty;50;;0.98;0.98;0.98;0.98;49;1;1
471;cannon;50;;0.98;0.98;0.98;0.98;49;1;1
107;jellyfish;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
111;nematode;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
687;organ;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
801;snorkel;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
306;rhinoceros_beetle;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
228;komondor;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
96;toucan;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
244;Tibetan_mastiff;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
251;dalmatian;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
880;unicycle;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
858;tile_roof;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
781;scoreboard;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
149;dugong;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
207;golden_retriever;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
709;pencil_box;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
403;aircraft_carrier;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
440;beer_bottle;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
301;ladybug;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
270;white_wolf;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
758;reel;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
256;Newfoundland;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
