class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
261;keeshond;10;;1.0;1.0;1.0;1.0;10;0;0
273;dingo;10;;1.0;1.0;1.0;1.0;10;0;0
291;lion;10;;1.0;1.0;1.0;1.0;10;0;0
974;geyser;10;;1.0;1.0;1.0;1.0;10;0;0
297;sloth_bear;10;;1.0;1.0;1.0;1.0;10;0;0
255;Leonberg;10;;1.0;1.0;1.0;1.0;10;0;0
313;walking_stick;10;;1.0;1.0;1.0;1.0;10;0;0
38;banded_gecko;10;;1.0;1.0;1.0;1.0;10;0;0
293;cheetah;10;;1.0;1.0;1.0;1.0;10;0;0
295;American_black_bear;10;;1.0;1.0;1.0;1.0;10;0;0
798;slide_rule;10;;1.0;1.0;1.0;1.0;10;0;0
389;barracouta;10;;1.0;1.0;1.0;1.0;10;0;0
145;king_penguin;10;;1.0;1.0;1.0;1.0;10;0;0
628;liner;10;;1.0;1.0;1.0;1.0;10;0;0
117;chambered_nautilus;10;;1.0;1.0;1.0;1.0;10;0;0
364;three-toed_sloth;10;;1.0;1.0;1.0;1.0;10;0;0
607;jack-o'-lantern;10;;1.0;1.0;1.0;1.0;10;0;0
105;koala;10;;1.0;1.0;1.0;1.0;10;0;0
604;hourglass;10;;1.0;1.0;1.0;1.0;10;0;0
678;neck_brace;10;;1.0;1.0;1.0;1.0;10;0;0
344;hippopotamus;10;;1.0;1.0;1.0;1.0;10;0;0
355;llama;10;;1.0;1.0;1.0;1.0;10;0;0
107;jellyfish;10;;1.0;1.0;1.0;1.0;10;0;0
361;skunk;10;;1.0;1.0;1.0;1.0;10;0;0
100;black_swan;10;;1.0;1.0;1.0;1.0;10;0;0
340;zebra;10;;1.0;1.0;1.0;1.0;10;0;0
90;lorikeet;10;;1.0;1.0;1.0;1.0;10;0;0
88;macaw;10;;1.0;1.0;1.0;1.0;10;0;0
325;sulphur_butterfly;10;;1.0;1.0;1.0;1.0;10;0;0
332;Angora;10;;1.0;1.0;1.0;1.0;10;0;0
87;African_grey;10;;1.0;1.0;1.0;1.0;10;0;0
321;admiral;10;;1.0;1.0;1.0;1.0;10;0;0
322;ringlet;10;;1.0;1.0;1.0;1.0;10;0;0
323;monarch;10;;1.0;1.0;1.0;1.0;10;0;0
317;leafhopper;10;;1.0;1.0;1.0;1.0;10;0;0
319;dragonfly;10;;1.0;1.0;1.0;1.0;10;0;0
430;basketball;10;;1.0;1.0;1.0;1.0;10;0;0
140;red-backed_sandpiper;10;;1.0;1.0;1.0;1.0;10;0;0
143;oystercatcher;10;;1.0;1.0;1.0;1.0;10;0;0
141;redshank;10;;1.0;1.0;1.0;1.0;10;0;0
146;albatross;10;;1.0;1.0;1.0;1.0;10;0;0
14;indigo_bunting;10;;1.0;1.0;1.0;1.0;10;0;0
9;ostrich;10;;1.0;1.0;1.0;1.0;10;0;0
533;dishrag;10;;1.0;1.0;1.0;1.0;10;0;0
20;water_ouzel;10;;1.0;1.0;1.0;1.0;10;0;0
956;custard_apple;10;;1.0;1.0;1.0;1.0;10;0;0
24;great_grey_owl;10;;1.0;1.0;1.0;1.0;10;0;0
23;vulture;10;;1.0;1.0;1.0;1.0;10;0;0
29;axolotl;10;;1.0;1.0;1.0;1.0;10;0;0
283;Persian_cat;10;;1.0;1.0;1.0;1.0;10;0;0
993;gyromitra;10;;1.0;1.0;1.0;1.0;10;0;0
986;yellow_lady's_slipper;10;;1.0;1.0;1.0;1.0;10;0;0
394;sturgeon;10;;1.0;1.0;1.0;1.0;10;0;0
160;Afghan_hound;10;;1.0;1.0;1.0;1.0;10;0;0
138;bustard;10;;1.0;1.0;1.0;1.0;10;0;0
139;ruddy_turnstone;10;;1.0;1.0;1.0;1.0;10;0;0
376;proboscis_monkey;10;;1.0;1.0;1.0;1.0;10;0;0
206;curly-coated_retriever;10;;1.0;1.0;1.0;1.0;10;0;0
371;patas;10;;1.0;1.0;1.0;1.0;10;0;0
366;gorilla;10;;1.0;1.0;1.0;1.0;10;0;0
576;gondola;10;;1.0;1.0;1.0;1.0;10;0;0
251;dalmatian;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
290;jaguar;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
274;dhole;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
287;lynx;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
900;water_tower;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
47;African_chameleon;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
258;Samoyed;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
18;magpie;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
955;jackfruit;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
22;bald_eagle;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
11;goldfinch;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
10;brambling;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
404;airliner;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
416;balance_beam;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
450;bobsled;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
475;car_mirror;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
144;pelican;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
378;capuchin;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
136;European_gallinule;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
396;lionfish;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
149;dugong;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
392;rock_beauty;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
137;American_coot;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
98;red-breasted_merganser;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
289;snow_leopard;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
365;orangutan;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
680;nipple;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
621;lawn_mower;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
641;maraca;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
363;armadillo;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
70;harvestman;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
338;guinea_pig;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
685;odometer;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
333;hamster;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
75;black_widow;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
320;damselfly;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
714;pick;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
316;cicada;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
315;mantis;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
360;otter;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
347;bison;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
102;echidna;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
362;badger;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
783;screw;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
779;school_bus;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
330;wood_rabbit;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
326;lycaenid;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
573;go-kart;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
350;ibex;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
296;ice_bear;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
286;cougar;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
881;upright;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
995;earthstar;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
0;tench;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
1;goldfish;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
4;hammerhead;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
820;steam_locomotive;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
247;Saint_Bernard;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
814;speedboat;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
45;Gila_monster;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
802;snowmobile;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
803;snowplow;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
37;box_turtle;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
288;leopard;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
268;Mexican_hairless;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
2;great_white_shark;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
228;komondor;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
337;beaver;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
89;sulphur-crested_cockatoo;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
91;coucal;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
95;jacamar;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
120;fiddler_crab;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
642;marimba;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
640;manhole_cover;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
613;joystick;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
684;ocarina;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
216;clumber;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
