value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.3253968253968254;0.4444444444444444;126;0.5158730158730159
bag;63;0.15873015873015872;0.31746031746031744;63;0.1746031746031746
airplane;63;0.49206349206349204;0.6666666666666666;63;0.5714285714285714
basket;63;0.3333333333333333;0.8412698412698413;63;0.36507936507936506
bathtub;63;0.36507936507936506;0.6825396825396826;63;0.36507936507936506
birdhouse;63;0.5238095238095238;0.6190476190476191;63;0.5238095238095238
bench;63;0.49206349206349204;0.6031746031746031;63;0.49206349206349204
bowl;63;0.12698412698412698;0.49206349206349204;63;0.31746031746031744
bookshelf;63;0.2698412698412698;0.36507936507936506;63;0.2698412698412698
bus;63;0.0;0.031746031746031744;63;0.015873015873015872
cabinet;63;0.0;0.031746031746031744;63;0.0
chair;63;0.3968253968253968;0.7936507936507936;63;0.746031746031746
camera;63;0.1111111111111111;0.1746031746031746;63;0.1111111111111111
cap;63;0.30158730158730157;0.36507936507936506;63;0.30158730158730157
car;63;0.047619047619047616;0.4603174603174603;63;0.6666666666666666
dishwasher;63;0.36507936507936506;0.42857142857142855;63;0.36507936507936506
clock;63;0.23809523809523808;0.7619047619047619;63;0.7142857142857143
display;63;0.19047619047619047;0.6190476190476191;63;0.5079365079365079
file cabinet;63;0.23809523809523808;0.3333333333333333;63;0.23809523809523808
train;63;0.0;0.0;63;0.0
flowerpot;63;0.42857142857142855;0.6190476190476191;63;0.42857142857142855
jar;63;0.6507936507936508;0.7619047619047619;63;0.6984126984126984
helmet;63;0.38095238095238093;0.4126984126984127;63;0.38095238095238093
keyboard;63;0.36507936507936506;0.6507936507936508;63;0.36507936507936506
knife;63;0.031746031746031744;0.1111111111111111;63;0.047619047619047616
laptop;63;0.1111111111111111;0.8095238095238095;63;0.6984126984126984
lamp;63;0.5714285714285714;0.8095238095238095;63;0.5714285714285714
microphone;63;0.031746031746031744;0.07936507936507936;63;0.031746031746031744
microwaves;63;0.5079365079365079;0.6031746031746031;63;0.5079365079365079
loudspeaker;63;0.2222222222222222;0.4126984126984127;63;0.2222222222222222
mailbox;63;0.19047619047619047;0.23809523809523808;63;0.19047619047619047
motorbike;63;0.25396825396825395;0.5714285714285714;63;0.2857142857142857
mug;63;0.1111111111111111;0.7301587301587301;63;0.1111111111111111
pillow;63;0.047619047619047616;0.23809523809523808;63;0.047619047619047616
piano;63;0.7619047619047619;0.8571428571428571;63;0.7936507936507936
washer;63;0.5555555555555556;0.5873015873015873;63;0.5555555555555556
table;63;0.30158730158730157;0.3968253968253968;63;0.5079365079365079
pistol;63;0.09523809523809523;0.09523809523809523;63;0.09523809523809523
printer;63;0.20634920634920634;0.31746031746031744;63;0.20634920634920634
remote;63;0.4603174603174603;0.5555555555555556;63;0.4603174603174603
rifle;63;0.06349206349206349;0.09523809523809523;63;0.09523809523809523
rocket;63;0.07936507936507936;0.19047619047619047;63;0.1111111111111111
stove;63;0.4603174603174603;0.5396825396825397;63;0.4603174603174603
watercraft;63;0.0;0.07936507936507936;63;0.047619047619047616
trash bin;63;0.7936507936507936;0.8888888888888888;63;0.7936507936507936
telephone;63;0.14285714285714285;0.31746031746031744;63;0.14285714285714285
tower;63;0.0;0.0;63;0.07936507936507936
bed;42;0.0;0.0;42;0.23809523809523808
earphone;21;0.3333333333333333;0.5238095238095238;21;0.3333333333333333
guitar;21;0.7142857142857143;0.7619047619047619;21;0.7142857142857143
sofa;21;0.7619047619047619;0.8095238095238095;21;0.7619047619047619
